"RunID","outcome_all_blocks_alive_OUD_counts_cycle52","outcome_all_blocks_alive_OUD_counts_cycle104","outcome_all_blocks_alive_OUD_counts_cycle156","outcome_all_blocks_male_alive_OUD_counts_cycle52","outcome_all_blocks_male_alive_OUD_counts_cycle104","outcome_all_blocks_male_alive_OUD_counts_cycle156","outcome_all_blocks_accumulated_fatal_od_cycle52","outcome_all_blocks_accumulated_fatal_od_cycle104","outcome_all_blocks_accumulated_fatal_od_cycle156","outcome_Detox_accumulated_admissions_cycle52","outcome_Detox_accumulated_admissions_cycle104","outcome_Detox_accumulated_admissions_cycle156","outcome_alive_OUD_counts_Male_10_25_cycle52","outcome_alive_OUD_counts_Male_10_25_cycle104","outcome_alive_OUD_counts_Male_10_25_cycle156","outcome_alive_OUD_counts_Female_10_25_cycle52","outcome_alive_OUD_counts_Female_10_25_cycle104","outcome_alive_OUD_counts_Female_10_25_cycle156","outcome_alive_OUD_counts_Male_25_45_cycle52","outcome_alive_OUD_counts_Male_25_45_cycle104","outcome_alive_OUD_counts_Male_25_45_cycle156","outcome_alive_OUD_counts_Female_25_45_cycle52","outcome_alive_OUD_counts_Female_25_45_cycle104","outcome_alive_OUD_counts_Female_25_45_cycle156","outcome_alive_OUD_counts_Male_45_100_cycle52","outcome_alive_OUD_counts_Male_45_100_cycle104","outcome_alive_OUD_counts_Male_45_100_cycle156","outcome_alive_OUD_counts_Female_45_100_cycle52","outcome_alive_OUD_counts_Female_45_100_cycle104","outcome_alive_OUD_counts_Female_45_100_cycle156","outcome_Total_OUD_Male_10_25_cycle52","outcome_Total_OUD_Male_10_25_cycle104","outcome_Total_OUD_Male_10_25_cycle156","outcome_Total_OUD_Female_10_25_cycle52","outcome_Total_OUD_Female_10_25_cycle104","outcome_Total_OUD_Female_10_25_cycle156","outcome_Total_OUD_Male_25_45_cycle52","outcome_Total_OUD_Male_25_45_cycle104","outcome_Total_OUD_Male_25_45_cycle156","outcome_Total_OUD_Female_25_45_cycle52","outcome_Total_OUD_Female_25_45_cycle104","outcome_Total_OUD_Female_25_45_cycle156","outcome_Total_OUD_Male_45_100_cycle52","outcome_Total_OUD_Male_45_100_cycle104","outcome_Total_OUD_Male_45_100_cycle156","outcome_Total_OUD_Female_45_100_cycle52","outcome_Total_OUD_Female_45_100_cycle104","outcome_Total_OUD_Female_45_100_cycle156","outcome_Total_BgMort_cycle52","outcome_Total_BgMort_cycle104","outcome_Total_BgMort_cycle156","outcome_Total_OUD_cycle52","outcome_Total_OUD_cycle104","outcome_Total_OUD_cycle156"
71661,212922.1281,213909.9618,268423.7529,125317.8646,126805.6621,164013.9127,946.6666,1189.268,1435.9823,41935.2693,41798.5622,41440.3232,12141.2309,14936.8619,27636.5856,7080.5778,8290.9873,12197.9766,55026.4995,56061.7732,68125.7867,35491.6421,35791.5199,41889.1926,58150.1342,55807.027,68251.5404,45032.0435,43021.7925,50322.671,12233.7463502762,15055.6988297657,27765.3813052308,7136.21054441741,8360.649787498,12269.9089162996,55568.5884527075,56757.1567479304,68873.6075425752,35758.259502862,36067.1625292477,42235.9065458897,61027.8229445379,58390.4465078705,71315.6013569588,47542.7206563214,45119.4297759493,52611.1783806494,5398.55382955785,4651.31441662551,5211.84888908625,219267.348451122,219750.544178262,275071.584047603
86797,213447.1649,221245.9335,267952.4521,125699.9103,132069.2133,164035.6468,926.8081,1190.0037,1421.1696,40497.1066,41591.9424,38436.3348,12377.4555,18083.8563,26861.2434,7182.6527,9673.0593,12003.9049,55168.3342,57950.9513,68830.3253,35534.9715,36409.9863,41528.9348,58154.1206,56034.4056,68344.0781,45029.6305,43093.6747,50383.9656,12466.7449205478,18209.448965066,26992.8922353473,7235.27732591099,9744.13961984145,12075.6673243066,55698.0833379538,58631.4644630981,69555.1527237596,35798.6712759476,36686.6160846034,41873.445152117,61034.9735130754,58634.9968856835,71429.1886640343,47545.5194759129,45204.4946992191,52687.6998619137,5405.29675151716,4675.22351439022,5240.42421977539,219779.269849348,227111.160717512,274614.045961478
109966,227986.1031,228539.0234,266253.185,136185.4964,137361.9225,163277.341,889.9144,1253.6582,1533.0348,40935.2739,44890.21,41026.853,18964.1324,21573.0426,25585.0236,9986.3022,11119.0954,11894.7049,58850.4146,59787.034,69602.9163,36692.3738,36962.9003,40812.0216,58370.9493,56001.8459,68089.4011,45121.9308,43095.1052,50269.1175,19074.0158020754,21739.0194468534,25735.3037444119,10044.5651018861,11205.0683797071,11975.1852776391,59370.2410868256,60498.1866014163,70383.1730915846,36944.6477522581,37240.3310806532,41165.5388688142,61237.7454988834,58599.752471622,71189.3248000687,47624.8861107697,45205.1318194355,52583.5161688687,5420.0838281966,4694.80818856326,5245.82217062863,234296.101352698,234487.489799687,273032.041951387
110352,219996.4121,221959.3718,269177.736,130426.3107,132614.9903,164919.7065,945.0752,1227.1239,1479.4003,38584.0383,37767.4596,40076.5333,15357.0054,18575.0974,27123.4294,8451.0216,9849.8851,12240.0002,56822.7003,58110.2949,69543.5711,36053.2144,36437.0718,41697.5304,58246.605,55929.598,68252.706,45065.8654,43057.4246,50320.4989,15458.4541624319,18716.1071323858,27261.6928628017,8507.29592229098,9926.38251972508,12314.9065932302,57360.8013977071,58817.3881441996,70316.6838886604,36317.5584024332,36716.5367038569,42053.0987311563,61126.7867528672,58523.5792760132,71333.9235682741,47581.4559229793,45166.583351074,52622.9837913854,5410.86525211962,4680.08147311356,5246.15312498198,226352.35256071,227866.577127255,275903.289435508
111057,218207.2298,224645.1596,267464.2951,129130.042,134516.2237,163855.2294,916.7694,1282.8343,1502.8423,40215.9693,41801.018,41895.4641,14530.5912,19672.6726,26396.5866,8099.3099,10341.2255,11960.9758,56368.4169,58774.0254,69150.3573,35913.2311,36669.8729,41258.0912,58231.0339,56069.5257,68308.2855,45064.6468,43117.8375,50389.9986,14627.2397346226,19819.243954923,26536.4250415538,8153.87921141282,10422.1545960721,12037.4383060751,56898.8329718487,59508.9029613274,69938.9314752147,36173.391117514,36957.581975622,41616.8209988367,61101.2774687552,58667.1090653707,71385.3110320353,47571.4712780477,45223.2197167404,52683.1975255973,5402.09260897512,4670.21837527149,5230.9870909732,224526.091782201,230598.212270056,274198.124379313
112496,212603.1141,220359.0486,267413.0785,125089.0823,131425.9675,163621.6264,905.437,1168.1754,1476.9264,38930.0361,44702.986,35544.0274,11988.4458,17672.8436,26799.5068,7018.6722,9500.1635,11953.7959,54959.459,57737.5757,68527.2532,35472.4302,36349.4374,41478.5493,58141.1775,56015.5482,68294.8664,45022.9293,43083.4803,50359.1069,12074.4143548156,17796.7782760916,26935.8314628464,7068.4654907304,9569.76697462181,12027.7196369387,55480.0356670114,58408.5390122036,69272.3989739561,35730.6246983329,36619.4023258672,41826.3494116754,61022.9331582175,58620.1029889673,71409.1945829276,47540.80681247,45197.0840017094,52677.5365073694,5408.72919999011,4684.44944831362,5259.02569470757,218917.280181578,226211.673579461,274149.030575714
114607,213744.4032,214912.3973,266754.4746,125918.2553,127552.0774,162977.6203,956.6895,1306.0673,1525.854,37097.2548,40370.9801,39802.0398,12527.4463,15455.3727,27110.32,7246.2581,8514.8523,12031.7909,55241.9386,56325.5282,67780.5575,35556.6349,35865.6463,41531.3409,58148.8703,55771.1764,68086.7428,45023.255,42979.8213,50213.7225,12620.0654440398,15582.5202123539,27240.9018929944,7300.46617754221,8588.0861690732,12103.9511429406,55783.2949222562,57056.0900664142,68545.7206545333,35825.2633781631,36159.9206929916,41894.8626226136,61039.6787965559,58400.7759885586,71207.5853447893,47547.361207189,45114.8570268374,52542.146720841,5415.03721708183,4683.78568332989,5254.83980213339,220116.129925746,220902.250156229,273535.168378712
129968,213426.0247,215580.5405,269711.703,125681.3208,128014.8675,164976.8728,880.3128,1165.8307,1527.7106,40377.978,44185.7106,40400.9882,12354.6222,15656.4449,27916.2456,7173.7465,8607.3356,12331.145,55167.8605,56517.1741,68807.3888,35539.2393,35940.6283,42108.903,58158.8381,55841.2485,68253.2383,45031.718,43017.7091,50294.7823,12441.1745680755,15773.765883771,28048.3299070929,7224.40507167831,8675.47858978523,12405.2473109117,55683.8718037949,57198.2023651205,69583.0611501087,35794.2361847081,36214.4181361238,42474.2142563592,61034.1887615773,58440.7632970299,71375.2294961884,47545.2122884235,45134.2362707228,52623.5000618673,5416.75125401042,4690.49331973182,5270.16859387077,219723.088678258,221436.864542553,276509.582182528
130817,224924.7928,227183.7197,267244.9483,133981.171,136378.8224,163876.5537,928.0518,1213.103,1522.2797,40568.1995,39427.6867,41738.4265,17588.2758,20922.9394,26042.6652,9399.7441,10850.4307,11993.5331,58069.3945,59429.5984,69651.7337,36443.7599,36851.6117,41067.5545,58323.5007,56026.2846,68182.1548,45100.1177,43102.8549,50307.3069,17695.1130443131,21069.3776566677,26178.4743588532,9458.28139270463,10928.6890364735,12066.8753586232,58603.8810914798,60136.528089052,70437.7099516959,36705.4884465993,37131.1735639277,41430.58790808,61195.428012059,58610.534473429,71271.072022682,47608.3227012952,45204.493684529,52617.7400591513,5413.67018665081,4683.9738433141,5235.23171142652,231266.514688451,233080.796504079,274002.459659086
132099,220096.1016,221767.5761,267695.4006,130499.3933,132482.9406,163923.9468,975.5778,1341.1739,1619.8896,42156.9691,40172.7385,39762.015,15410.721,18541.8257,26749.9279,8472.0122,9829.7708,12097.3963,56841.1059,58033.8109,69038.5423,36056.6946,36406.6722,41405.4183,58247.5664,55907.304,68135.4765,45068.0014,43048.1925,50268.6393,15516.0269187123,18690.6701021431,26892.5780452201,8531.77485570019,9912.60816607245,12177.0101659373,57392.7988463312,58788.7917879341,69853.6921446754,36327.5440280455,36704.3865587096,41783.9082434414,61128.5536113183,58518.0145388458,71251.6721121598,47582.1474700136,45166.3461326426,52588.4333253925,5407.16638300428,4672.06731060981,5232.00380254787,226478.845730121,227780.817286348,274547.294036826
135312,226932.5158,235419.9402,268230.8387,135435.1552,142288.3811,164900.7938,974.2828,1281.22,1531.183,40552.5171,42708.4025,35472.3191,18520.8982,24534.221,25645.5891,9796.0378,12422.8744,11976.9783,58577.9449,61524.2767,70991.7398,36601.7808,37542.0064,40979.3639,58336.3122,56229.8834,68263.4648,45099.5419,43166.6782,50373.7028,18636.4820362705,24707.7927509942,25801.0688362569,9858.53393553367,12513.4018398804,12060.3136268023,59127.0707443027,62251.8211267701,71782.7717746581,36868.7610522489,37823.507715809,41332.9663331121,61224.3179729731,58846.4521731013,71386.4430939942,47619.6303514769,45285.0473096902,52698.1798249505,5427.99747810078,4726.86284423416,5299.72179783662,233334.796092806,241428.022916245,275061.743489774
136024,208900.6809,212633.7266,269906.9433,122419.9489,125885.188,164958.6646,935.7062,1202.7083,1521.1122,43403.2706,43786,41671.2241,10317.1715,14303.2777,28275.5701,6305.8535,8038.9514,12342.9747,54017.4988,55767.4536,68397.2451,35174.4682,35704.4447,42292.6018,58085.2786,55814.4567,68285.8494,45000.4104,43005.1425,50312.7022,10399.9454155913,14414.8792005366,28411.1929475354,6356.51269512071,8105.61975537452,12418.9155545889,54549.4071333661,56450.7828797849,69151.78910038,35440.2018097714,35983.6431050627,42654.1134941144,60971.5450285792,58423.1548148264,71403.4091794308,47520.6930452069,45123.2744148488,52632.7418549468,5401.91790918357,4664.91923425832,5244.10659070295,215238.305127636,218501.354170434,276672.162130996
141010,209367.2165,213243.4139,270136.2745,122754.1536,126318.1913,165130.2365,929.1127,1194.7568,1462.7497,41715.3298,40768.6857,36341.7749,10520.9336,14552.6057,28251.8599,6393.5562,8147.5306,12352.0236,54136.0159,55921.6481,68525.5456,35212.2979,35754.3967,42298.1949,58097.2041,55843.9375,68352.831,45007.2088,43023.2953,50355.8194,10604.8951886586,14666.9541049823,28386.1134476476,6443.65348172616,8214.54205190364,12425.3171983892,54663.3131365953,56597.9886825495,69262.2861239312,35475.7488239697,36031.0130992139,42649.1681015132,60977.8347579019,58439.0637428789,71430.5612941113,47523.1549421999,45131.5214620736,52651.3918066246,5392.27112783709,4642.91242770407,5205.81387277597,215688.600331052,219081.083143602,276804.837972217
149116,211027.6072,220886.8526,268281.8531,123953.2352,131797.2838,164218.9839,933.8393,1253.0912,1491.1942,36639.3429,38894.051,34874.7388,11285.4792,17904.1017,27070.948,6718.2685,9607.9313,12028.118,54555.902,57857.2112,68836.6165,35345.6512,36398.3549,41667.0228,58111.854,56035.971,68311.4195,45010.4523,43083.2827,50367.7283,11373.7104503093,18036.4603682933,27213.3642380637,6770.53932290193,9683.38677060882,12106.2004542478,55090.6017261109,58564.7417856223,69589.5623017986,35609.0933392764,36678.7683398722,42013.7832821651,61001.4291587643,58668.5054740637,71448.4876543597,47532.3898863668,45212.8710876506,52697.7984341447,5416.31741531055,4704.7898722307,5296.14904132928,217377.76388373,226844.733826111,275069.19636478
166487,224003.0868,224755.2041,265913.5488,133314.7933,134641.859,162879.6258,896.5009,1256.145,1518.2155,43125.7959,40398.2584,39210.5393,17167.3812,19888.0451,25882.2761,9221.395,10401.6957,11884.7971,57843.7865,58834.0405,68964.2363,36376.6977,36663.2539,40930.4913,58303.6255,55919.7734,68033.1134,45090.2008,43048.3955,50218.6345,17270.4961420432,20040.6168579432,26024.2284332902,9277.74225206314,10483.3573088256,11962.2754124906,58367.8894007858,59549.9594567809,69739.0266270413,36631.842139051,36944.0759179969,41285.0559028327,61182.396928686,58540.5381411258,71163.0909505462,47603.2221718595,45176.3507164959,52554.7085951238,5434.00146201984,4723.5493225727,5296.62173422314,230333.589034489,230734.898399168,272728.385921325
200338,217534.8632,224382.2165,269920.977,128659.9281,134357.308,165540.4301,984.1449,1320.2119,1701.7822,41539.9833,43578.3832,38503.7967,14264.6785,19622.6785,27286.6996,7985.6165,10322.2772,12279.3421,56203.7061,58734.3223,70054.5293,35855.4419,36647.6207,41823.3863,58191.5435,56000.3071,68199.2012,45033.8768,43055.0106,50277.8186,14363.355882383,19767.7821007172,27437.9014838421,8041.68073452503,10402.6507118027,12363.2246540643,56752.1726964767,59471.5364508293,70892.6245056757,36127.6226797595,36942.1404844454,42214.8957486728,61093.1789911002,58645.3016047232,71393.9998472218,47568.3016014935,45198.8796497921,52643.1926497782,5427.30433790541,4725.86270431898,5323.07954562502,223946.312585738,230428.29100231,276945.838889255
203099,223536.7873,226142.5542,266795.1394,132984.3456,135640.4672,163538.6196,930.2994,1246.5905,1494.8849,38237.8998,43693.445,39909.5453,16965.2556,20466.6445,26021.7815,9136.6612,10661.2122,11946.5464,57728.8092,59197.4801,69396.5542,36337.3605,36780.1969,41055.6174,58290.2807,55976.3426,68120.2839,45078.42,43060.6779,50254.356,17069.7023396929,20619.974208267,26164.3723250967,9192.36852241606,10741.8608842306,12022.887189195,58256.2932880907,59899.0390923224,70157.9171187789,36597.0161852054,37059.0583092856,41407.3330170981,61176.234686939,58591.6302802012,71235.9507347757,47600.810245273,45188.0016354521,52582.6177812181,5425.33861972852,4710.4197472625,5281.05385333984,229892.425267617,232099.564409759,273571.078166162
205179,225589.2707,226524.1879,270482.8411,134453.2269,135901.4239,166016.1867,860.2848,1165.0701,1434.3248,39635.404,38675.1787,36935.9449,17865.4913,20616.7702,27026.4618,9519.8885,10716.3361,12366.4153,58244.4108,59280.7895,70693.4159,36503.362,36804.814,41750.329,58343.3248,56003.8643,68296.309,45112.7932,43101.6139,50349.9102,17967.0364101746,20762.6568370045,27163.7406410075,9573.89809902622,10792.3610670762,12439.1711255495,58755.0092405667,59964.7936988168,71452.1311256351,36752.6512053432,37075.4657179429,42097.7718829498,61203.7731766697,58582.2101297707,71367.0674860738,47611.5889663988,45199.6607181129,52650.5805692835,5414.40167425341,4687.89008370477,5253.2968081217,231863.957098179,232377.148168724,277170.462830499
211041,217380.1735,226409.8863,266404.3281,128532.0603,135772.5996,163216.401,895.2474,1190.7379,1619.2782,41362.38,37235.7242,41122.369,14148.5942,20367.5766,25947.9666,7937.8137,10654.5499,11794.2742,56164.4415,59253.4747,68987.1595,35850.5318,36833.5457,41006.1981,58219.0246,56151.5482,68281.275,45059.7678,43149.1911,50387.4548,14242.1533757105,20509.6794024113,26101.641121605,7990.14766868155,10731.6846172952,11878.3880999301,56684.8113907617,59941.7548661399,69798.2389381835,36106.6010714709,37106.6561409957,41378.671584051,61089.4593992578,58743.5270207578,71410.9066875468,47566.8456350582,45250.4960683993,52709.077695759,5404.59758218967,4683.1740104575,5253.31772586505,223680.018540941,232283.798115999,273276.924127075
218868,223217.8181,224415.1915,266087.0702,132753.2906,134397.5201,162972.1556,984.0117,1422.5491,1562.4382,37027.6147,37251.2029,39221.3668,16830.4074,19778.3835,26005.9016,9076.2254,10353.1647,11913.1739,57633.408,58699.3508,68910.8851,36305.2135,36615.8619,40962.2651,58289.4752,55919.7858,68055.369,45083.0886,43048.6448,50239.4756,16942.3178633553,19945.8509911937,26146.949253959,9138.20693402424,10444.5685054175,11990.2557577618,58185.496033109,59483.4078564973,69709.0758536162,36574.9223016436,36920.420567756,41325.0162799231,61172.3253864035,58546.3585643351,71161.1164351744,47599.2800540754,45176.5008370053,52554.4175968809,5410.7187468386,4679.36673675704,5237.32270279876,229612.548572611,230517.107322205,272886.831177315
223238,222565.2106,231603.4149,267162.6975,132288.135,139541.8749,164011.0562,987.2923,1230.0455,1528.653,36445.6488,37225.0897,38425.4194,16543.1136,22782.6541,25693.7973,8954.4355,11680.6785,11865.8353,57473.9024,60569.6946,70050.8166,36252.6189,37236.6938,40925.0428,58271.119,56189.5262,68266.4423,45070.0212,43144.1677,50360.7631,16651.6800694066,22938.7794531653,25843.1364478755,9014.63321173194,11763.4946237217,11946.4495022175,58023.9668724662,61271.7502429306,70833.9074956997,36524.5137217065,37515.571812029,41285.688045893,61163.4059313116,58798.4729189728,71387.8919018347,47595.788990231,45261.7862914284,52687.8564689744,5421.48593124219,4716.39489470134,5293.57941753266,228973.988796854,237549.855342248,273984.929862495
